SNR(dB) Errors Practical_BER
0.0000000000e+00 3891489 3.8914890000e-01 
1.0000000000e+00 3808815 3.8088150000e-01 
2.0000000000e+00 3724335 3.7243350000e-01 
3.0000000000e+00 3637092 3.6370920000e-01 
4.0000000000e+00 3542578 3.5425780000e-01 
5.0000000000e+00 3439448 3.4394480000e-01 
6.0000000000e+00 3325703 3.3257030000e-01 
7.0000000000e+00 3201895 3.2018950000e-01 
8.0000000000e+00 3067337 3.0673370000e-01 
9.0000000000e+00 2922315 2.9223150000e-01 
1.0000000000e+01 2768381 2.7683810000e-01 
1.1000000000e+01 2600411 2.6004110000e-01 
1.2000000000e+01 2417226 2.4172260000e-01 
1.3000000000e+01 2215504 2.2155040000e-01 
1.4000000000e+01 1994630 1.9946300000e-01 
1.5000000000e+01 1757054 1.7570540000e-01 
1.6000000000e+01 1509036 1.5090360000e-01 
